,Standardized Type,Start time,Closed time,Location,Duration,Max Lanes Closed
144,Collision,2019-04-10 16:21:00,2019-04-10 17:00:00,I-66W west @ MM 55.500,39,1.0
145,Collision,2019-04-10 23:15:00,2019-04-11 00:57:00,I-66W west @ MM 62.000,102,2.0
146,Collision,2019-04-11 00:23:00,2019-04-11 01:10:00,I-66W west @ MM 55.000,47,1.0
147,Collision,2019-04-11 05:31:00,2019-04-11 06:57:00,I-66E east @ MM 73.700,86,1.0
148,Collision,2019-04-11 08:31:00,2019-04-11 09:23:00,I-66E east @ MM 54.800,52,3.0
149,Collision,2019-04-11 09:03:00,2019-04-11 09:37:00,I-66W west @ MM 54.200,34,2.0
150,Collision,2019-04-11 12:09:00,2019-04-11 13:09:00,I-66E east @ MM 71.800,60,
151,Collision,2019-04-12 01:52:00,2019-04-12 03:17:00,I-66E east @ MM 55.000,85,1.0
152,Collision,2019-04-12 07:01:00,2019-04-12 07:33:00,I-66E east @ MM 56.000,32,1.0
153,Collision,2019-04-12 17:03:00,2019-04-12 19:26:00,I-66W west @ MM 54.400,143,1.0
154,Collision,2019-04-13 05:28:00,2019-04-13 06:29:00,I-66E east @ MM 64.000,61,1.0
155,Collision,2019-04-13 13:57:00,2019-04-13 15:03:00,I-66E east @ MM 60.000,66,1.0
156,Collision,2019-04-13 14:23:00,2019-04-13 16:22:00,I-66E east @ MM 59.600,119,1.0
157,Collision,2019-04-13 14:34:00,2019-04-13 15:18:00,I-66E east @ MM 59.800,44,1.0
158,Collision,2019-04-13 16:39:00,2019-04-13 17:20:00,I-66W west @ MM 53.500,41,1.0
159,Collision,2019-04-13 23:48:00,2019-04-14 00:28:00,I-66E east @ MM 61.600,40,2.0
160,Collision,2019-04-14 12:22:00,2019-04-14 13:31:00,I-66E east @ MM 63.800,69,2.0
161,Collision,2019-04-14 14:11:00,2019-04-14 16:13:00,I-66E east @ MM 63.800,122,1.0
162,Collision,2019-04-14 15:31:00,2019-04-14 16:13:00,I-66E east @ MM 63.800,42,1.0
163,Collision,2019-04-14 19:06:00,2019-04-14 20:44:00,I-66E east @ MM 69.000,98,
164,Collision,2019-04-14 21:32:00,2019-04-14 22:17:00,I-66E east @ MM 60.000,45,3.0
165,Collision,2019-04-15 08:13:00,2019-04-15 09:03:00,I-66E east @ MM 52.000,50,1.0
166,Collision,2019-04-15 08:32:00,2019-04-15 09:15:00,I-66E east @ MM 62.000,43,2.0
167,Collision,2019-04-15 09:24:00,2019-04-15 10:20:00,I-66E east @ MM 61.600,56,1.0
168,Collision,2019-04-15 10:06:00,2019-04-15 10:58:00,I-66E east @ MM 60.000,52,1.0
169,Collision,2019-04-15 13:38:00,2019-04-15 15:20:00,I-66W west @ MM 62.000,102,2.0
170,Collision,2019-04-15 13:47:00,2019-04-15 14:24:00,I-66E east @ MM 61.400,37,2.0
171,Collision,2019-04-15 17:12:00,2019-04-15 17:43:00,I-66W west @ MM 52.000,31,1.0
172,Collision,2019-04-16 05:42:00,2019-04-16 06:31:00,I-66W west @ MM 54.300,49,1.0
173,Collision,2019-04-16 18:44:00,2019-04-16 19:52:00,I-66E east @ MM 58.800,68,1.0
174,Collision,2019-04-17 09:07:00,2019-04-17 10:20:00,I-66E east @ MM 52.000,73,2.0
175,Collision,2019-04-17 10:19:00,2019-04-17 11:29:00,I-66E east @ MM 64.000,70,1.0
176,Collision,2019-04-17 16:53:00,2019-04-17 17:57:00,I-66E east @ MM 64.000,64,1.0
177,Collision,2019-04-17 17:58:00,2019-04-17 18:54:00,I-66E east @ MM 67.700,56,1.0
178,Collision,2019-04-17 19:01:00,2019-04-17 19:36:00,I-66W west @ MM 53.900,35,3.0
179,Collision,2019-04-18 05:47:00,2019-04-18 06:59:00,I-66W west @ MM 57.400,72,1.0
180,Collision,2019-04-18 18:16:00,2019-04-18 19:18:00,I-66W west @ MM 60.000,62,1.0
181,Collision,2019-04-19 08:54:00,2019-04-19 10:07:00,I-66E east @ MM 65.000,73,2.0
182,Collision,2019-04-19 12:56:00,2019-04-19 14:10:00,I-66W west @ MM 52.000,74,2.0
183,Collision,2019-04-19 14:56:00,2019-04-19 15:34:00,I-66W west @ MM 63.900,38,1.0
184,Collision,2019-04-19 15:25:00,2019-04-19 16:45:00,I-66W west @ MM 55.500,80,1.0
185,Collision,2019-04-19 15:38:00,2019-04-19 16:36:00,I-66E east @ MM 64.700,58,2.0
186,Collision,2019-04-20 03:13:00,2019-04-20 04:12:00,I-66W west @ MM 54.000,59,1.0
187,Collision,2019-04-20 07:57:00,2019-04-20 08:35:00,I-66W west @ MM 55.000,38,5.0
188,Collision,2019-04-20 11:16:00,2019-04-20 13:03:00,I-66E east @ MM 64.000,107,4.0
189,Collision,2019-04-20 11:56:00,2019-04-20 12:59:00,I-66E east @ MM 61.000,63,2.0
190,Collision,2019-04-20 12:23:00,2019-04-20 13:32:00,I-66W west @ MM 63.600,69,3.0
191,Collision,2019-04-20 15:47:00,2019-04-20 16:45:00,I-66E east @ MM 59.000,58,3.0
192,Collision,2019-04-20 16:38:00,2019-04-20 17:17:00,I-66E east @ MM 53.800,39,1.0
193,Collision,2019-04-20 17:17:00,2019-04-20 18:18:00,I-66W west @ MM 54.200,61,3.0
194,Collision,2019-04-20 17:34:00,2019-04-20 18:06:00,I-66E east @ MM 54.600,32,1.0
195,Collision,2019-04-20 20:15:00,2019-04-20 21:59:00,I-66E east @ MM 64.200,104,2.0
196,Collision,2019-04-21 15:15:00,2019-04-21 15:52:00,I-66W west @ MM 55.500,37,1.0
197,Collision,2019-04-21 17:03:00,2019-04-21 17:49:00,I-66E east @ MM 55.500,46,1.0
198,Collision,2019-04-22 04:49:00,2019-04-22 05:39:00,I-66E east @ MM 63.000,50,1.0
199,Collision,2019-04-22 15:07:00,2019-04-22 16:42:00,I-66E east @ MM 62.600,95,1.0
200,Collision,2019-04-22 16:32:00,2019-04-22 17:36:00,I-66E east @ MM 61.600,64,3.0
201,Collision,2019-04-22 17:57:00,2019-04-22 18:49:00,I-66E east @ MM 54.200,52,3.0
202,Collision,2019-04-22 18:04:00,2019-04-22 19:44:00,I-66E east @ MM 62.000,100,1.0
203,Collision,2019-04-22 18:11:00,2019-04-22 19:05:00,I-66E east @ MM 69.000,54,1.0
204,Collision,2019-04-22 18:41:00,2019-04-22 19:38:00,I-66W west @ MM 53.000,57,2.0
205,Collision,2019-04-23 06:59:00,2019-04-23 08:18:00,I-66E east @ MM 56.500,79,2.0
206,Collision,2019-04-23 08:02:00,2019-04-23 08:48:00,I-66E east @ MM 60.000,46,2.0
207,Collision,2019-04-23 11:40:00,2019-04-23 15:42:00,I-66E east @ MM 62.000,242,1.0
208,Collision,2019-04-23 15:35:00,2019-04-23 16:05:00,I-66E east @ MM 74.500,30,1.0
209,Collision,2019-04-23 17:49:00,2019-04-23 18:42:00,I-66W west @ MM 60.000,53,1.0
210,Collision,2019-04-23 18:19:00,2019-04-23 19:04:00,I-66W west @ MM 55.000,45,1.0
211,Collision,2019-04-23 19:19:00,2019-04-23 21:00:00,I-66W west @ MM 60.000,101,2.0
212,Collision,2019-04-23 20:03:00,2019-04-23 20:55:00,I-66E east @ MM 74.700,52,2.0
213,Collision,2019-04-23 21:15:00,2019-04-23 21:52:00,I-66W west @ MM 55.000,37,
214,Collision,2019-04-24 09:00:00,2019-04-24 09:39:00,I-66E east @ MM 58.600,39,1.0
215,Collision,2019-04-24 09:45:00,2019-04-24 11:16:00,I-66E east @ MM 62.000,91,3.0
216,Collision,2019-04-24 10:51:00,2019-04-24 12:00:00,I-66W west @ MM 69.100,69,1.0
217,Collision,2019-04-24 18:13:00,2019-04-24 21:35:00,I-66W west @ MM 53.500,202,2.0
218,Collision,2019-04-24 20:18:00,2019-04-24 21:35:00,I-66W west @ MM 53.600,77,3.0
219,Collision,2019-04-24 21:41:00,2019-04-24 22:34:00,I-66W west @ MM 55.000,53,3.0
220,Collision,2019-04-25 04:17:00,2019-04-25 04:55:00,I-66W west @ MM 57.000,38,1.0
221,Collision,2019-04-25 10:27:00,2019-04-25 11:26:00,I-66E east @ MM 67.400,59,1.0
222,Collision,2019-04-25 14:40:00,2019-04-25 15:25:00,I-66E east @ MM 74.500,45,3.0
223,Collision,2019-04-25 22:23:00,2019-04-25 23:11:00,I-66W west @ MM 53.000,48,2.0
224,Collision,2019-04-26 12:02:00,2019-04-26 12:53:00,I-66W west @ MM 59.000,51,2.0
225,Collision,2019-04-26 16:45:00,2019-04-26 18:01:00,I-66W west @ MM 59.400,76,1.0
226,Collision,2019-04-26 22:38:00,2019-04-27 00:25:00,I-66W west @ MM 58.500,107,1.0
227,Collision,2019-04-27 09:59:00,2019-04-27 11:30:00,I-66E east @ MM 70.300,91,1.0
228,Collision,2019-04-27 10:02:00,2019-04-27 10:40:00,I-66W west @ MM 53.900,38,1.0
229,Collision,2019-04-27 11:18:00,2019-04-27 12:20:00,I-66E east @ MM 63.700,62,1.0
230,Collision,2019-04-27 14:57:00,2019-04-27 16:30:00,I-66E east @ MM 63.800,93,2.0
231,Collision,2019-04-27 15:14:00,2019-04-27 16:31:00,I-66E east @ MM 54.300,77,1.0
232,Collision,2019-04-27 16:26:00,2019-04-27 17:06:00,I-66W west @ MM 53.900,40,1.0
233,Collision,2019-04-27 17:10:00,2019-04-27 18:29:00,I-66W west @ MM 59.400,79,1.0
234,Collision,2019-04-28 00:57:00,2019-04-28 02:20:00,I-66E east @ MM 64.000,83,1.0
235,Collision,2019-04-28 11:23:00,2019-04-28 13:00:00,I-66W west @ MM 60.000,97,2.0
236,Collision,2019-04-28 13:49:00,2019-04-28 17:35:00,I-66E east @ MM 63.600,226,2.0
237,Collision,2019-04-29 07:55:00,2019-04-29 09:36:00,I-66W west @ MM 55.000,101,3.0
238,Collision,2019-04-29 08:54:00,2019-04-29 09:37:00,I-66W west @ MM 59.400,43,1.0
239,Collision,2019-04-29 09:30:00,2019-04-29 10:48:00,I-66W west @ MM 61.600,78,2.0
240,Collision,2019-04-29 10:05:00,2019-04-29 11:49:00,I-66E east @ MM 58.800,104,1.0
241,Collision,2019-04-29 12:05:00,2019-04-29 13:36:00,I-66E east @ MM 52.900,91,2.0
242,Collision,2019-04-29 12:12:00,2019-04-29 12:50:00,I-66E east @ MM 52.900,38,2.0
243,Collision,2019-04-29 15:55:00,2019-04-29 18:55:00,I-66E east @ MM 64.000,180,
244,Collision,2019-04-29 18:41:00,2019-04-29 19:35:00,I-66W west @ MM 64.000,54,1.0
245,Collision,2019-04-29 19:26:00,2019-04-29 20:46:00,I-66E east @ MM 74.700,80,1.0
246,Collision,2019-04-30 16:57:00,2019-04-30 17:31:00,I-66W west @ MM 62.000,34,1.0
247,Collision,2019-04-03 10:15:00,2019-04-03 10:57:00,VA-7W west @ MM 46.800,42,5.0
248,Collision,2019-04-17 09:09:00,2019-04-17 09:45:00,VA-7E east @ MM 41.380,36,2.0
249,Collision,2019-04-23 14:59:00,2019-04-23 15:57:00,VA-7W west @ MM 58.330,58,
250,Collision,2019-04-28 18:52:00,2019-04-28 19:42:00,VA-7E east @ MM 58.380,50,2.0
